period,year,month,n,mean_happiness,median_happiness,sd_happiness,min_happiness,max_happiness,time_index
Before,2006,9,476,5.407689075630252,5.405,0.4811168103774543,3.49,7.22,0
Before,2006,10,481,5.324636174636175,5.37,0.5035295450835062,2.54,6.91,1
Before,2006,11,478,5.401443514644352,5.41,0.5089795438404168,3.04,6.85,2
Before,2006,12,484,5.412169421487603,5.41,0.5121452912936735,1.54,7.58,3
Before,2007,1,496,5.379455645161291,5.385,0.5137592743377662,2.22,7.46,4
Before,2007,2,491,5.38213849287169,5.38,0.5362668665964294,1.39,7.58,5
Before,2007,3,493,5.401034482758621,5.41,0.5040598840363133,3.62,7.42,6
Before,2007,4,493,5.384989858012171,5.39,0.5022136464144501,3.51,7.28,7
Before,2007,5,490,5.314897959183674,5.33,0.5390289779363735,3.32,7.35,8
Before,2007,6,493,5.405192697768762,5.41,0.5012194614781584,3.2,7.42,9
Before,2007,7,492,5.373556910569105,5.44,0.5576596342128007,2.92,7.64,10
Before,2007,8,494,5.383238866396762,5.4,0.4970477095669296,3.14,7.38,11
Before,2007,9,493,5.3897768762677485,5.42,0.48648079921081316,3.46,7.28,12
Before,2007,10,496,5.402923387096774,5.41,0.5469327901551416,2.69,8.0,13
Before,2007,11,489,5.4094887525562365,5.46,0.4841579901250463,2.48,6.82,14
Before,2007,12,491,5.433564154786151,5.42,0.5072210457415098,3.29,6.96,15
Before,2008,1,490,5.363857142857142,5.37,0.4878931166265147,2.06,6.85,16
Before,2008,2,486,5.457119341563786,5.46,0.518805064553707,2.37,7.44,17
Before,2008,3,491,5.3883299389002035,5.39,0.5029558152985704,2.88,6.88,18
Before,2008,4,492,5.423678861788617,5.41,0.48336490552627515,3.82,7.38,19
Before,2008,5,485,5.391896907216495,5.4,0.531705222746,2.66,8.0,20
Before,2008,6,487,5.387577002053388,5.41,0.5945232569118727,2.44,8.0,21
Before,2008,7,479,5.412693110647181,5.4,0.5231079192304802,2.6,7.42,22
Before,2008,8,486,5.407757201646091,5.43,0.497251943753452,3.2,6.81,23
During,2008,9,493,5.410709939148073,5.4,0.5203060612764496,2.3,7.64,24
During,2008,10,496,5.418387096774193,5.41,0.49396501261906833,2.48,6.82,25
During,2008,11,487,5.404373716632443,5.4,0.48728394808031017,3.61,7.47,26
During,2008,12,484,5.426404958677686,5.41,0.5253549418869196,3.54,7.44,27
During,2009,1,487,5.36788501026694,5.38,0.5208155237657778,2.95,7.22,28
During,2009,2,487,5.405728952772074,5.43,0.5305535509401065,2.88,7.24,29
During,2009,3,488,5.407581967213115,5.43,0.5171612347752229,2.92,7.1,30
During,2009,4,494,5.409068825910931,5.43,0.5515421339086517,3.29,7.72,31
During,2009,5,481,5.447733887733888,5.45,0.47848160435213755,3.08,7.68,32
During,2009,6,487,5.449876796714579,5.47,0.5103940070209351,3.48,7.53,33
After,2009,7,489,5.41439672801636,5.47,0.5015039819619563,2.46,6.87,34
After,2009,8,484,5.445371900826446,5.475,0.508597782194852,3.44,7.19,35
After,2009,9,486,5.4170576131687245,5.46,0.5427849005087287,2.0,7.02,36
After,2009,10,490,5.46530612244898,5.475,0.5240670044143338,2.18,7.02,37
After,2009,11,482,5.436846473029045,5.43,0.5099871724753531,3.61,7.68,38
After,2009,12,488,5.474877049180328,5.465,0.49213650762931915,3.15,7.44,39
After,2010,1,482,5.432697095435684,5.43,0.4409343080133704,3.98,7.37,40
After,2010,2,485,5.429814432989691,5.46,0.5162717653926774,2.6,7.52,41
After,2010,3,486,5.392716049382717,5.425,0.5052508100552376,2.42,6.96,42
After,2010,4,483,5.438571428571429,5.46,0.4826489714465485,3.93,7.05,43
After,2010,5,496,5.413770161290323,5.42,0.5523186201628186,2.76,7.86,44
After,2010,6,492,5.425670731707317,5.46,0.5078288890633182,3.14,7.44,45
After,2010,7,493,5.417931034482758,5.46,0.4827093455768813,3.4,6.94,46
After,2010,8,489,5.42002044989775,5.42,0.49318199803673096,3.64,6.64,47
After,2010,9,493,5.415618661257606,5.44,0.5170679066997433,3.37,7.44,48
After,2010,10,488,5.390532786885246,5.4,0.5010978941672268,3.67,6.64,49
After,2010,11,493,5.47580121703854,5.49,0.5032758713483516,3.51,6.91,50
After,2010,12,496,5.433346774193549,5.44,0.5153193466188457,3.36,7.96,51
After,2011,1,492,5.394166666666666,5.4,0.4696429252712086,3.75,6.58,52
After,2011,2,493,5.412129817444219,5.42,0.5375744676939463,2.66,8.0,53
After,2011,3,494,5.392408906882591,5.41,0.5461728051308695,3.43,8.0,54
After,2011,4,490,5.406918367346939,5.42,0.5140604762881333,3.38,7.12,55
After,2011,5,490,5.383367346938775,5.42,0.5452639440360499,2.64,6.79,56
After,2011,6,494,5.4184008097166,5.47,0.5785903633830671,2.08,7.42,57
