period,year,month,n
Before,2006,9,476
Before,2006,10,481
Before,2006,11,478
Before,2006,12,484
Before,2007,1,496
Before,2007,2,491
Before,2007,3,493
Before,2007,4,493
Before,2007,5,490
Before,2007,6,493
Before,2007,7,492
Before,2007,8,494
Before,2007,9,493
Before,2007,10,496
Before,2007,11,489
Before,2007,12,491
Before,2008,1,490
Before,2008,2,486
Before,2008,3,491
Before,2008,4,492
Before,2008,5,485
Before,2008,6,487
Before,2008,7,479
Before,2008,8,486
During,2008,9,493
During,2008,10,496
During,2008,11,487
During,2008,12,484
During,2009,1,487
During,2009,2,487
During,2009,3,488
During,2009,4,494
During,2009,5,481
During,2009,6,487
After,2009,7,489
After,2009,8,484
After,2009,9,486
After,2009,10,490
After,2009,11,482
After,2009,12,488
After,2010,1,482
After,2010,2,485
After,2010,3,486
After,2010,4,483
After,2010,5,496
After,2010,6,492
After,2010,7,493
After,2010,8,489
After,2010,9,493
After,2010,10,488
After,2010,11,493
After,2010,12,496
After,2011,1,492
After,2011,2,493
After,2011,3,494
After,2011,4,490
After,2011,5,490
After,2011,6,494
